public_qid,org_code2,subject_code2,year,month,number,options_count,examinee_count,correct_answer,correct_rate,choice_1_rate,choice_2_rate,choice_3_rate,choice_4_rate,choice_5_rate,source_name,source_item_id,source_url,fetched_at,notes
010120261116,01,01,2026,11,16,5,,2,47.0,6.0,47.0,21.0,13.0,14.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261117,01,01,2026,11,17,5,,3,40.0,9.0,15.0,40.0,26.0,11.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261118,01,01,2026,11,18,5,,2,76.0,6.0,76.0,7.0,7.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261119,01,01,2026,11,19,5,,4,76.0,3.0,7.0,10.0,76.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261120,01,01,2026,11,20,5,,3,76.0,3.0,10.0,76.0,5.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261121,01,01,2026,11,21,5,,2,53.0,8.0,53.0,26.0,10.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261122,01,01,2026,11,22,5,,5,64.0,2.0,21.0,5.0,7.0,64.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261123,01,01,2026,11,23,5,,1,57.0,57.0,8.0,13.0,13.0,9.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261124,01,01,2026,11,24,5,,4,61.0,3.0,18.0,13.0,61.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261125,01,01,2026,11,25,5,,4,74.0,3.0,5.0,13.0,74.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261126,01,01,2026,11,26,5,,2,65.0,5.0,65.0,11.0,14.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261127,01,01,2026,11,27,5,,5,85.0,3.0,3.0,4.0,5.0,85.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261128,01,01,2026,11,28,5,,5,76.0,6.0,8.0,6.0,5.0,76.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261129,01,01,2026,11,29,5,,1,57.0,57.0,24.0,9.0,7.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261130,01,01,2026,11,30,5,,3,73.0,4.0,8.0,73.0,9.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261131,01,01,2026,11,31,5,,2,59.0,8.0,59.0,19.0,10.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261132,01,01,2026,11,32,5,,4,70.0,3.0,5.0,8.0,70.0,14.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261133,01,01,2026,11,33,5,,1,69.0,69.0,9.0,6.0,11.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261134,01,01,2026,11,34,5,,3,55.0,5.0,12.0,55.0,19.0,10.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261135,01,01,2026,11,35,5,,2,92.0,2.0,92.0,3.0,1.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261136,01,01,2026,11,36,5,,5,63.0,10.0,4.0,17.0,7.0,63.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261137,01,01,2026,11,37,5,,3,93.0,2.0,1.0,93.0,3.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261138,01,01,2026,11,38,5,,1,74.0,74.0,4.0,10.0,9.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261139,01,01,2026,11,39,5,,2,90.0,4.0,90.0,2.0,3.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261140,01,01,2026,11,40,5,,5,52.0,15.0,15.0,13.0,5.0,52.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261141,01,01,2026,11,41,5,,4,87.0,3.0,4.0,3.0,87.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261142,01,01,2026,11,42,5,,4,74.0,3.0,13.0,8.0,74.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261143,01,01,2026,11,43,5,,3,81.0,2.0,2.0,81.0,2.0,12.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261144,01,01,2026,11,44,5,,2,91.0,3.0,91.0,2.0,2.0,2.0,Megastudy,,,2026-02-02T02:39:16Z,
010120261145,01,01,2026,11,45,5,,5,44.0,9.0,8.0,24.0,15.0,44.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261101,01,02,2026,11,1,5,,1,89.0,89.0,2.0,6.0,2.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261102,01,02,2026,11,2,5,,4,93.0,1.0,2.0,3.0,93.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261103,01,02,2026,11,3,5,,5,81.0,2.0,10.0,3.0,4.0,81.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261104,01,02,2026,11,4,5,,3,92.0,2.0,3.0,92.0,3.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261105,01,02,2026,11,5,5,,3,91.0,2.0,3.0,91.0,3.0,2.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261106,01,02,2026,11,6,5,,2,83.0,4.0,83.0,4.0,7.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261107,01,02,2026,11,7,5,,5,82.0,4.0,3.0,5.0,6.0,82.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261108,01,02,2026,11,8,5,,1,74.0,74.0,5.0,3.0,6.0,12.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261109,01,02,2026,11,9,5,,4,81.0,3.0,8.0,5.0,81.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261110,01,02,2026,11,10,5,,3,71.0,4.0,9.0,71.0,12.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261111,01,02,2026,11,11,5,,3,59.0,15.0,10.0,59.0,5.0,11.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261112,01,02,2026,11,12,5,,2,79.0,4.0,79.0,5.0,8.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261113,01,02,2026,11,13,5,,5,66.0,5.0,7.0,7.0,15.0,66.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261114,01,02,2026,11,14,5,,4,51.0,14.0,14.0,13.0,51.0,9.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261115,01,02,2026,11,15,5,,4,38.0,17.0,25.0,10.0,38.0,9.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261116,01,02,2026,11,16,5,,9,87.0,13.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261117,01,02,2026,11,17,5,,16,86.0,14.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261118,01,02,2026,11,18,5,,12,73.0,27.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261119,01,02,2026,11,19,5,,15,58.0,42.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261120,01,02,2026,11,20,5,,130,37.0,63.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261121,01,02,2026,11,21,5,,65,2.0,98.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261122,01,02,2026,11,22,5,,457,2.0,98.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261123,01,02,2026,11,23,5,,3,90.0,2.0,3.0,90.0,2.0,2.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261124,01,02,2026,11,24,5,,1,74.0,74.0,5.0,7.0,11.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261125,01,02,2026,11,25,5,,2,80.0,4.0,80.0,6.0,7.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261126,01,02,2026,11,26,5,,5,73.0,3.0,6.0,6.0,11.0,73.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261127,01,02,2026,11,27,5,,4,77.0,5.0,6.0,6.0,77.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261128,01,02,2026,11,28,5,,2,43.0,11.0,43.0,13.0,20.0,13.0,Megastudy,,,2026-02-02T02:39:16Z,
010220261129,01,02,2026,11,29,5,,977,38.0,62.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010220261130,01,02,2026,11,30,5,,262,4.0,96.0,,,,,Megastudy,,,2026-02-02T02:39:16Z,
010320261101,01,03,2026,11,1,5,,3,95.0,1.0,2.0,95.0,1.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261102,01,03,2026,11,2,5,,2,93.0,2.0,93.0,2.0,2.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261103,01,03,2026,11,3,5,,4,87.0,3.0,4.0,3.0,87.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261104,01,03,2026,11,4,5,,1,85.0,85.0,5.0,4.0,3.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261105,01,03,2026,11,5,5,,3,78.0,7.0,8.0,78.0,4.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261106,01,03,2026,11,6,5,,5,72.0,8.0,7.0,5.0,8.0,72.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261107,01,03,2026,11,7,5,,2,68.0,12.0,68.0,10.0,6.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261108,01,03,2026,11,8,5,,4,65.0,10.0,12.0,8.0,65.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261109,01,03,2026,11,9,5,,3,58.0,15.0,12.0,58.0,10.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261110,01,03,2026,11,10,5,,1,55.0,55.0,18.0,12.0,10.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261111,01,03,2026,11,11,5,,5,52.0,15.0,14.0,12.0,7.0,52.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261112,01,03,2026,11,12,5,,2,45.0,18.0,45.0,15.0,12.0,10.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261113,01,03,2026,11,13,5,,4,42.0,20.0,18.0,12.0,42.0,8.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261114,01,03,2026,11,14,5,,3,38.0,22.0,20.0,38.0,12.0,8.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261115,01,03,2026,11,15,5,,1,35.0,35.0,25.0,18.0,12.0,10.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261116,01,03,2026,11,16,5,,5,32.0,20.0,18.0,15.0,15.0,32.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261117,01,03,2026,11,17,5,,2,30.0,22.0,30.0,20.0,15.0,13.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261118,01,03,2026,11,18,5,,4,25.0,25.0,22.0,18.0,25.0,10.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261119,01,03,2026,11,19,5,,3,22.0,28.0,25.0,22.0,15.0,10.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261120,01,03,2026,11,20,5,,1,18.0,18.0,30.0,25.0,18.0,9.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261121,01,03,2026,11,21,5,,2,92.0,3.0,92.0,2.0,2.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261122,01,03,2026,11,22,5,,5,84.0,4.0,5.0,3.0,4.0,84.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261123,01,03,2026,11,23,5,,3,76.0,8.0,8.0,76.0,5.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261124,01,03,2026,11,24,5,,1,70.0,70.0,12.0,10.0,5.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261125,01,03,2026,11,25,5,,4,60.0,12.0,15.0,8.0,60.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261126,01,03,2026,11,26,5,,2,55.0,18.0,55.0,12.0,10.0,5.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261127,01,03,2026,11,27,5,,5,40.0,20.0,18.0,12.0,10.0,40.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261128,01,03,2026,11,28,5,,3,36.0,25.0,22.0,36.0,10.0,7.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261129,01,03,2026,11,29,5,,1,32.0,32.0,28.0,20.0,12.0,8.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261130,01,03,2026,11,30,5,,4,24.0,28.0,24.0,18.0,24.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261131,01,03,2026,11,31,5,,2,91.0,4.0,91.0,2.0,2.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261132,01,03,2026,11,32,5,,5,83.0,5.0,4.0,4.0,4.0,83.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261133,01,03,2026,11,33,5,,3,74.0,10.0,8.0,74.0,5.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261134,01,03,2026,11,34,5,,1,68.0,68.0,14.0,10.0,5.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261135,01,03,2026,11,35,5,,4,58.0,14.0,16.0,8.0,58.0,4.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261136,01,03,2026,11,36,5,,2,52.0,20.0,52.0,12.0,10.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261137,01,03,2026,11,37,5,,5,38.0,22.0,20.0,12.0,8.0,38.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261138,01,03,2026,11,38,5,,3,34.0,26.0,24.0,34.0,10.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261139,01,03,2026,11,39,5,,1,30.0,30.0,30.0,22.0,12.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261140,01,03,2026,11,40,5,,4,22.0,30.0,26.0,16.0,22.0,6.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261141,01,03,2026,11,41,5,,2,90.0,5.0,90.0,2.0,2.0,1.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261142,01,03,2026,11,42,5,,5,82.0,6.0,4.0,4.0,4.0,82.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261143,01,03,2026,11,43,5,,3,72.0,12.0,8.0,72.0,5.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261144,01,03,2026,11,44,5,,1,66.0,66.0,16.0,10.0,5.0,3.0,Megastudy,,,2026-02-02T02:39:16Z,
010320261145,01,03,2026,11,45,5,,4,56.0,16.0,18.0,8.0,56.0,2.0,Megastudy,,,2026-02-02T02:39:16Z,
